501,<ITEM>赤ポーション<INFO>501</INFO></ITEM>
502,<ITEM>紅ポーション<INFO>502</INFO></ITEM>
503,<ITEM>黄ポーション<INFO>503</INFO></ITEM>
504,<ITEM>白ポーション<INFO>504</INFO></ITEM>
505,<ITEM>青ポーション<INFO>505</INFO></ITEM>
506,<ITEM>緑ポーション<INFO>506</INFO></ITEM>
507,<ITEM>赤ハーブ<INFO>507</INFO></ITEM>
508,<ITEM>黄ハーブ<INFO>508</INFO></ITEM>
509,<ITEM>白ハーブ<INFO>509</INFO></ITEM>
510,<ITEM>青ハーブ<INFO>510</INFO></ITEM>
511,<ITEM>緑ハーブ<INFO>511</INFO></ITEM>
512,<ITEM>リンゴ<INFO>512</INFO></ITEM>
513,<ITEM>バナナ<INFO>513</INFO></ITEM>
514,<ITEM>ブドウ<INFO>514</INFO></ITEM>
515,<ITEM>ニンジン<INFO>515</INFO></ITEM>
516,<ITEM>いも<INFO>516</INFO></ITEM>
517,<ITEM>にく<INFO>517</INFO></ITEM>
518,<ITEM>ハチ蜜<INFO>518</INFO></ITEM>
519,<ITEM>ミルク<INFO>519</INFO></ITEM>
520,<ITEM>ヒナレの葉<INFO>520</INFO></ITEM>
521,<ITEM>アロエの葉<INFO>521</INFO></ITEM>
522,<ITEM>マステラの実<INFO>522</INFO></ITEM>
523,<ITEM>聖水<INFO>523</INFO></ITEM>
525,<ITEM>万能薬<INFO>525</INFO></ITEM>
526,<ITEM>ローヤルゼリー<INFO>526</INFO></ITEM>
528,<ITEM>化け物のエサ<INFO>528</INFO></ITEM>
529,<ITEM>キャンディ<INFO>529</INFO></ITEM>
530,<ITEM>スティックキャンディ<INFO>530</INFO></ITEM>
531,<ITEM>リンゴジュース<INFO>531</INFO></ITEM>
532,<ITEM>バナナジュース<INFO>532</INFO></ITEM>
533,<ITEM>ブドウジュース<INFO>533</INFO></ITEM>
534,<ITEM>ニンジンジュース<INFO>534</INFO></ITEM>
535,<ITEM>カボチャ<INFO>535</INFO></ITEM>
536,<ITEM>アイスクリーム<INFO>536</INFO></ITEM>
537,<ITEM>ペットフード<INFO>537</INFO></ITEM>
538,<ITEM>よく焼いたクッキー<INFO>538</INFO></ITEM>
539,<ITEM>ひとくちケーキ<INFO>539</INFO></ITEM>
540,<ITEM>ファルコンのえさ<INFO>540</INFO></ITEM>
541,<ITEM>ペコペコのえさ<INFO>541</INFO></ITEM>
542,<ITEM>ひなあられ<INFO>542</INFO></ITEM>
543,<ITEM>菱餅<INFO>543</INFO></ITEM>
544,<ITEM>おさしみ<INFO>544</INFO></ITEM>
545,<ITEM>レッドスリムポーション<INFO>545</INFO></ITEM>
546,<ITEM>イエロースリムポーション<INFO>546</INFO></ITEM>
547,<ITEM>ホワイトスリムポーション<INFO>547</INFO></ITEM>
548,<ITEM>チーズ<INFO>548</INFO></ITEM>
549,<ITEM>おいしい焼きいも<INFO>549</INFO></ITEM>
550,<ITEM>お米のお菓子<INFO>550</INFO></ITEM>
551,<ITEM>お寿司<INFO>551</INFO></ITEM>
552,<ITEM>KETUPAT<INFO>552</INFO></ITEM>
553,<ITEM>小包子<INFO>553</INFO></ITEM>
554,<ITEM>おもち<INFO>554</INFO></ITEM>
555,<ITEM>おはぎ<INFO>555</INFO></ITEM>
556,<ITEM>ガレットック<INFO>556</INFO></ITEM>
557,<ITEM>トック<INFO>557</INFO></ITEM>
558,<ITEM>チョコレート<INFO>558</INFO></ITEM>
559,<ITEM>手作りチョコ<INFO>559</INFO></ITEM>
560,<ITEM>手作りホワイトチョコ<INFO>560</INFO></ITEM>
561,<ITEM>ホワイトチョコ<INFO>561</INFO></ITEM>
562,<ITEM>ピザ<INFO>562</INFO></ITEM>
563,<ITEM>デラックスピザ<INFO>563</INFO></ITEM>
564,<ITEM>おにぎり<INFO>564</INFO></ITEM>
565,<ITEM>ビタ500<INFO>565</INFO></ITEM>
566,<ITEM>トムヤンクン<INFO>566</INFO></ITEM>
567,<ITEM>エビ<INFO>567</INFO></ITEM>
568,<ITEM>レモン<INFO>568</INFO></ITEM>
569,<ITEM>初心者用ポーション<INFO>569</INFO></ITEM>
570,<ITEM>幸運のキャンディ<INFO>570</INFO></ITEM>
571,<ITEM>幸運のスティックキャンディ<INFO>571</INFO></ITEM>
572,<ITEM>幸運のクッキー<INFO>572</INFO></ITEM>
573,<ITEM>チョコレートドリンク<INFO>573</INFO></ITEM>
574,<ITEM>卵<INFO>574</INFO></ITEM>
575,<ITEM>2周年記念ケーキ<INFO>575</INFO></ITEM>
576,<ITEM>トゲの実<INFO>576</INFO></ITEM>
